Link,País,Preço_Sócio,Preço_Normal,Pontuação,Avaliações,Somelier,Decantação,Olfativo,Amadurecimento,Uvas,Gustativo,Visual,Harmonização,Temperatura,Safra,Seco,Teor_Alcoólico,Vinícola,Tipo,Potencial_Guarda,Região,Preços_Cat,Pontuação_Cat,Estoque_Cat,Pontos_Total
https://wine.com.br/vinhos/maison-le-star-rose-on-ice/prod18479.html,,,,3.5,26.0,"Rosé francês frutado, leve, fresco e com doçura média, idealizado para ser apreciado colocando-se cubos de gelo na taça. É ideal como um refrescante aperitivo, em meio a uma agradável conversa, e acompanhando aperitivos ou pratos leves. Um vinho informal e divertido.",,Frutas vermelhas,Em tanques de aço inox.,"Grenache (70%), Syrah (5%), Cinsault (25%)","Leve, acidez agradável, frutado, doçura média",Rosa claro,"Salada de frutos do mar, bruschettas e tapas, canapés, tabuas de frios e queijos, pizzas, ou simplesmente como aperitivo com cubos de gelo na taça.",8.0,,0,11.5,Maison Le Star,Outros,3.0,,,2,1,91.0
https://wine.com.br/vinhos/ropiteau-freres-les-plants-nobles-pinot-noir-2017/prod22808.html,França,,,4.5,44.0,"Com aroma de frutas vermelhas, sobre notas de tosta, baunilha e coco, esse exemplar traz um paladar frutado, fresco e com taninos delicados, características marcantes dos vinhos elaborados no sul da França. Com o objetivo de disseminar os seus rótulos e a sua paixão pelo mundo do vinho, a Roupiteau Frères expandiu a sua produção para outras regiões além da Borgonha, entre elas o sul da França, que segundo algumas literaturas recebeu as primeiras vinhas de gregos e romanos em 600 a.C.",,"Frutas vermelhas, tosta, baunilha, coco",Um terço do vinho estagiou em barricas de carvalho.,Pinot Noir (100.00%),"Corpo de leve para médio, fresco, taninos delicados, frutado, alcaçuz",Rubi,"Ratatouille, iscas de filé mignon acebolado, nhoque de beterraba ao sugo, lagarto recheado, espaguete à bolonhesa, e queijos semiduros.",15.0,2017.0,1,12.5,Ropiteau Frères,Tinto,4.0,Languedoc,,2,1,198.0
https://wine.com.br/vinhos/punta-paramo-malbec-2018/prod20965.html,Argentina,,,3.5,8.0,"Estilo de Malbec fácil de beber e macio, ideal para o dia a dia dos iniciantes no mundo do vinho e também dos experts. Foi pontuado com 90 pontos (medalha de prata) pela Decanter Asia Wine Awards. A vinícola responsável por esse exemplar é a Don Cristóbal que possui muita tradição na elaboração de vinhos argentinos.",,"Frutas vermelhas, leve amadeirado, nuances de chocolate e baunilha",Parte do vinho amadureceu em barricas de carvalho por 9 meses.,Malbec (100%),"Corpo de leve para médio, taninos macios, acidez agradável",Rubi com reflexos violáceos,"Fraldinha ao forno, pizza de calabresa, quiche de quatro queijos, filé com fritas, penne ao sugo com almôndegas, queijos semiduros.",15.0,2018.0,1,13.8,Bodega Don Cristóbal 1492,Tinto,7.0,Mendoza,,1,2,28.0
https://wine.com.br/vinhos/gerard-bertrand-grand-terroir-a-o-p-les-aspres-2015/prod19395.html,França,,,1.0,2.0,"Nasce de videiras cultivada em Les Aspres (árido em catalão), que faz referência ao clima e aspecto do local. Lá as uvas atingem seu ponto ideal de maturação, resultando neste exemplar rico em aromas de frutas maduras e paladar macio. É elaborado pelo renomado produtor da região, Gérard Bertrand. Pontuado com 91 pontos por Robert Parker.",30.0,"Frutas negras maduras, tosta, erva doce, noz-moscada",33% do vinho por 9 meses em barris de carvalho.,"Mourvèdre, Grenache , Syrah","Médio corpo, taninos sedosos, acidez agradável, boa persistência",Rubi,"Pernil de cordeiro assado, paleta de javali cozida em vinho tinto com polenta cremosa trufada, pappardelle com ragu de pato, risoto de arroz negro com mix de cogumelos, borsch (sopa de beterraba), queijos semiduros.",16.0,2015.0,1,14.0,Gérard Bertrand,Tinto,7.0,Les Aspres,,1,2,2.0
https://wine.com.br/vinhos/marques-de-somera-garnacha-2018/prod22847.html,Espanha,,,4.0,17.0,"Esse exemplar é elaborado na região espanhola de Cariñena, a segunda Denominação de Origem mais antiga do país. A uva Garnacha, apesar de pouco conhecida pelos brasileiros, é uma das tintas mais cultivadas no mundo e nesse exemplar se mostra com um perfil jovem e moderno.",,"Frutas vermelhas, pimenta-preta, violeta ",Em tanques de aço inox. ,Garnacha ,"Médio corpo, frutado, fresco, taninos macios, ",Rubi,"Nhoque à bolonhesa, filé à parmigiana, arroz carreteiro, lasanha de berinjela, iscas de carne acebolada, espaguete ao sugo.",15.0,2018.0,1,13.0,Covinca,Tinto,4.0,Cariñena,,2,1,68.0
https://wine.com.br/vinhos/corello-i-g-t-puglia-primitivo-2018/prod22823.html,Itália,,,4.5,36.0,"Frutas vermelhas, alcatrão e alcaçuz são alguns dos aromas desse vinho de paladar frutado, com acidez agradável, taninos macios e corpo de leve para médio. Chamada de Zinfandel na Califórnia, a uva Primitivo possui uma coloração intensa, uma de suas características mais marcantes.",,"Frutas vermelhas, alcatrão, alcaçuz.",Em tanques de aço inox.,Primitivo (100%),"Frutado, acidez agradável, taninos macios, corpo de leve para médio.",Rubi intenso,"Alcatra assada ao molho de especiarias, cane-seca com abóbora, orecchiette alla pugliese, frango ao molho teriyaki, pizza de tomate seco e manjericão, queijos semiduros.",15.0,2018.0,0,13.0,Cantina Malizia,Tinto,4.0,Puglia,,2,1,162.0
https://wine.com.br/vinhos/champagne-montaudon-brut/prod3170.html,França,183.9,216.35,4.5,156.0,"Com notas de frutas brancas, mel, pão e fermento no aroma, o Champagne Montaudon Brut preenche o paladar com sua cremosidade, boa acidez, médio corpo e delicada perlage. Elaborado pela Maison Montaudon, uma tradicional casa de Champagne fundada em 1891.",,"Frutas brancas, mel, torradas, pão, fermento",Mínimo de 2 anos nas caves.,"Pinot Noir (40.00%), Pinot Meunier (35.00%), Chardonnay (25.00%)","Cremoso, boa acidez, médio corpo, elegante",Amarelo-palha ,"Ostras, salmão defumado, robalo grelhado com purê de mandioquinha, risoto de lula, moqueca, pupunha assada, pastel de queijo brie, queijos brancos moles.",9.0,,0,12.0,Maison Montaudon,Outros,3.0,Champagne,4,2,1,702.0
https://wine.com.br/vinhos/frisante-porta-soprana-lambrusco-i-g-p-emilia-branco-amabile-suave/prod6944.html,Itália,,,4.5,215.0,"Esse frisante branco tem aromas de frutas brancas frescas, é leve, agradavelmente doce, refrescante e cremoso. Ideal para beber em ocasiões festivas ou no dia a dia, com alegria e sem compromisso. Um produto com a marca dos 150 anos de experiência da Cantina Chiarli.",,"Frutas brancas, como pera e maçã e toque floral.",Sem passagem por carvalho.,Lambrusco,"Leve, refrescante, com paladar adocicado e fácil de beber.",Amarelo claro.,"Saladas de folhas verdes, espaguete ao molho de gorgonzola, peixes, tabule, quiche de palmito, torta de maçã.",7.0,,0,7.5,Chiarli,Outros,2.0,Emilia,,2,1,967.5
https://wine.com.br/vinhos/dark-horse-the-original-california-rose-2018/prod22842.html,Estados Unidos,55.9,65.76,4.0,1.0,"A enóloga da Dark Horse, Beth Liston, decidiu aproveitar o verão com as uvas e criar um vinho seco e ao estilo de Provence, para que todos possam apreciar.
Um californiano potente com a elegância de um francês! Imperdível!",,"Frutas vermelhas, morango e um toque mineral",Em tanques de aço inox.,"Barbera, Pinot Gris, Tempranillo, Grenache ","Frutado, bela acidez e final agradável",Rosa pálido,"Bolinho de bacalhau, salmão grelhado, quiche de palmito, salada de folhas verdes com morangos, wrap vegetariano.",10.0,2018.0,1,13.0,Dark Horse,Outros,3.0,Califórnia,2,1,1,4.0
https://wine.com.br/vinhos/ropiteau-pinot-noir-2017/prod22807.html,França,108.9,128.12,0.0,0.0,"Pinot Noir da Borgonha com aromas de frutas como cereja, framboesa e morango, associadas a leve nota mentolada, nuance defumada e de especiarias. No paladar, é aveludado, possui notas frutadas, toque da madeira, acidez equilibrada e boa persistência. A primavera quente e seca da Borgonha, em 2014, permitiu um bom florescimento das vinhas. No verão, o sol demorou a aparecer, mas em setembro as uvas amadureceram com maestria e conseguiram conquistar bom potencial aromático com manutenção da acidez.",,"Frutas como cereja, framboesa e morango, associadas a leve nota mentolada, nuance defumada e de especiarias.",6 meses em barricas de carvalho.,Pinot Noir,"Aveludado, notas frutadas com toque da madeira, acidez equilibrada e boa persistência.",Rubi claro,"Polenta mole com ragu de linguiça e cogumelos, talharim de pupunha com molho branco, rosbife de alcatra, marinada de legumes e cogumelos, risoto primavera com tiras de mignon, chester ao forno.",15.0,2017.0,1,12.5,Ropiteau Frères,Tinto,6.0,Bourgogne,3,0,2,0.0
